Count,Name,Race,Tags,Cost,Military,Culture,Faith,Description,Lore
1,Sacrificial Shrine,demonic,building,,,,,,The fires are bright and full of screams.
1,Cerberus,demonic,creature,,,,,,
1,Harpy,demonic,creature,,,,,,I smell magic in the air.; Or maybe barbecue.
1,Hellhound,demonic,creature,,,,,,
1,Imp,demonic,creature,,,,,Produces $F every turn,Caring for the fires is my pleasure.
1,Succubus,demonic,creature,,,,,,Pleasure beyond life.
1,The Balrog,demonic,"creature, artifact",,,,,+1 \M for every $F you own; Produces $F every turn,
1,Embers,demonic,item,1 $F,,,,Produces $F every turn,"Made in the hell, burns forever."
1,Incantation Scroll,demonic,item,,,,,,"Malla, Eer, Dul, Aman, Shala, Ros, Ackra, Sheer, Thalla, Salthrak, Imar, Kalador, An’perath, O’sakana, Ferik, ..."
1,Break,demonic,spell,1 $M,,,,Remove enemy item,Your staff is broken.
1,Burn,demonic,spell,1 $F,,,,Remove 4 enemy non-fire resource tokens,
1,Curse,demonic,spell,,,,,,Death is the only way to lift the curse.
1,Transfiguration,demonic,spell,1 $M,,,,Rearrange resource tokens between all your cards that can store them; Changing type of tokens is allowed,Turning water into wine is faith.; Turning copper into gold is alchemy.
1,Unholly Smite,demonic,spell,1 $M,,,,Sacrifice (kill) own demonic creature; Kill enemy creature with positive faith,"It promises great power, but it exacts a terrible price."
1,Upside Down,demonic,spell,,,,,,Alternate dimension that mirrors our world.
2,Demonic Race,demonic,vote,,,,,,
1,Angel,divine,creature,,,,,Grants +1 \F to all divine creatures,I saw the angel in the marble and carved until I set her free.
1,Griffin,divine,creature,,2,2,2,,"Stand straight, walk proud, have a little faith."
1,Oracle,divine,creature,,,,,Produces $M every turn,You've already made the choice. You're here to understand why you've made it.
1,Phoenix,divine,creature,,,,,Once per turn: resurrect if dead; Adds 2 $F tokens when resurrected,
1,Titan,divine,creature,,,,,+1 \M for each divine creature,"In the name of god, we fight."
1,Unicorn,divine,creature,,,,,Produces $M every turn,
1,Wizard,divine,creature,,,,,All spells cost 1 $M less - this effect does not stack,You shall not pass!
1,The God,divine,"creature, artifact",,,,,Final: convert all \M and \C to \F at half rate,The faith is absolute.
1,Holy Water,divine,item,1 $G,,,2,+2 \M if enemy has any undead creature,Tastes like tap water.
1,Blessing,divine,spell,,,,,,
1,Counterspell,divine,spell,1 $M,,,,Play immediately after enemy spell to cancel it; Cannot cancel Counterspell,
1,Lightning Bolt,divine,spell,3 $M,,,,Kill one enemy creature,Death as fast as light.
1,Resurrect,divine,spell,2 $M,,,,Resurrect one own dead non-undead non-demonic creature,
1,Time Slip,divine,spell,3 $M,,,,Play one additional turn now,
